Dumpsite Name,Ward,Latitude,Longitude,Waste Types,Waste Management Actors,Reasons for Dumping,Proposed Interventions,Community Interventions,Health & Burning Issues,Sources of Waste,Size of Dumpsite,Frequency of Dumping,Status (Active/Inactive),Photo URL,_WasteCategory,_Alert,_ReasonsNormalized,_InterventionsNormalized
Kipkaren,Langas,0.506582,35.248072,"Construction, E-waste, Glass, Medical, Metal, Others, Paper, Plastic",COUNTY OFFICERS,No designated dumping site nearby Ignorance or lack of awareness,,,Yes,Households Markets Industries Schools Hospitals Others,Large,,No,,Mixed,True,No designated dumping site nearby Ignorance or lack of awareness,
Kimumu,Kimumu,0.5349,35.30038,"Construction, E-waste, Glass, Medical, Metal, Organic, Others, Paper, Plastic",County Officers and Waste Management service providers,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,Yes,Households Others,Medium,,Yes,,Mixed,True,"Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience, Proximity to homes Avoiding collection fees Others",
Kimumu,Kimumu,0.535653,35.301327,"Construction, E-waste, Glass, Medical, Metal, Organic, Others, Paper, Plastic",County Officers and Waste Management service providers,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,No,Households Markets Others,Small,,Yes,,Mixed,False,"Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience, Proximity to homes Avoiding collection fees Others",
Kimumu,Kimumu,0.536218,35.303997,"Construction, E-waste, Glass, Medical, Metal, Organic, Others, Paper, Plastic",County Officers and Waste Management service providers,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees,,,No,Households Markets Others,Medium,,Yes,,Mixed,False,"Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience, Proximity to homes Avoiding collection fees",
Bahati,Kimumu,0.531852,35.304462,"Organic, Others, Paper",Waste Management service providers,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,Yes,Households,Small,,Yes,,Mixed,True,"Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience, Proximity to homes Avoiding collection fees Others",
Bahati,Kimumu,0.526149,35.303255,"Organic, Others, Paper, Plastic",Waste Management service providers,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees,,,nan,Households Others,Small,,Yes,,Mixed,False,"Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience, Proximity to homes Avoiding collection fees",
Shauri,Huruma,0.524825,35.248648,"Glass, Organic, Others, Paper, Plastic",Waste Management service providers,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,Yes,Households Others,Small,,Yes,,Mixed,True,"Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience, Proximity to homes Avoiding collection fees Others",
Shauri,Huruma,0.526077,35.249672,"Construction, E-waste, Glass, Metal, Organic, Others, Paper, Plastic",Waste Management service providers,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,Yes,Households Industries Others,Medium,,Yes,,Mixed,True,"Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience, Proximity to homes Avoiding collection fees Others",
Shauri,Huruma,0.526722,35.249407,"Construction, Organic, Others, Paper, Plastic",Waste Management service providers,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,No,Households Markets Others,Small,,Yes,,Mixed,False,"Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience, Proximity to homes Avoiding collection fees Others",
Shauri,Huruma,0.526353,35.250203,"Construction, E-waste, Glass, Metal, Organic, Others, Paper, Plastic",Waste Management service providers,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,No,Households Markets Industries Others,Large,,Yes,,Mixed,False,"Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience, Proximity to homes Avoiding collection fees Others",
